Division	Region	Brand	WrittenDate	UnitsSold
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/4/2014	64
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/5/2014	41
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/6/2014	42
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/7/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/8/2014	44
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/9/2014	66
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/10/2014	53
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/11/2014	43
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/12/2014	41
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/13/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/14/2014	54
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/15/2014	54
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/16/2014	65
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/17/2014	39
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/18/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/19/2014	38
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/20/2014	30
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/21/2014	29
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/22/2014	43
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/23/2014	62
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/24/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/25/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/26/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/27/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/28/2014	44
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/29/2014	58
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/30/2014	95
